loci	gst	Gst	GGst	D	Fis	Fst	Fit
SNP.74	 0.0078	 0.0180	 0.0205	 0.0103	1	 0.0016	1
SNP.75	-0.0048	-0.0113	-0.0129	-0.0064	1	-0.0125	1
SNP.76	-0.0026	-0.0062	-0.0071	-0.0035	1	-0.0096	1
SNP.77	 0.0016	 0.0037	 0.0042	 0.0021	1	-0.0023	1
SNP.78	 0.0143	 0.0328	 0.0374	 0.0187	1	 0.0168	1
SNP.79	 0.0025	 0.0058	 0.0066	 0.0033	1	-0.0035	1
SNP.80	-0.0048	-0.0112	-0.0128	-0.0064	1	-0.0125	1
SNP.81	 0.0053	 0.0123	 0.0140	 0.0070	1	-0.0033	1
SNP.82	 0.0104	 0.0240	 0.0274	 0.0138	1	 0.0101	1
SNP.83	-0.0019	-0.0044	-0.0051	-0.0025	1	-0.0095	1
SNP.84	 0.0277	 0.0628	 0.0714	 0.0360	1	 0.0263	1
SNP.85	 0.0023	 0.0054	 0.0061	 0.0031	1	-0.0044	1
SNP.86	-0.0031	-0.0073	-0.0083	-0.0041	1	-0.0106	1
SNP.87	 0.0057	 0.0133	 0.0152	 0.0076	1	 0.0030	1
SNP.88	 0.0081	 0.0187	 0.0213	 0.0107	1	 0.0019	1
SNP.89	 0.0016	 0.0038	 0.0043	 0.0022	1	-0.0043	1
SNP.90	 0.0023	 0.0053	 0.0060	 0.0030	1	-0.0037	1
SNP.91	 0.0147	 0.0335	 0.0382	 0.0191	1	 0.0120	1
SNP.92	-0.0006	-0.0015	-0.0017	-0.0009	1	-0.0085	1
SNP.93	 0.0116	 0.0268	 0.0305	 0.0153	1	 0.0081	1
SNP.94	 0.0181	 0.0414	 0.0471	 0.0237	1	 0.0154	1
SNP.95	 0.0012	 0.0027	 0.0031	 0.0015	1	-0.0065	1
SNP.96	-0.0039	-0.0091	-0.0104	-0.0052	1	-0.0115	1
SNP.97	 0.0035	 0.0081	 0.0092	 0.0046	1	-0.0018	1
SNP.98	-0.0009	-0.0021	-0.0024	-0.0012	1	-0.0077	1
SNP.99	 0.0192	 0.0436	 0.0497	 0.0248	1	 0.0196	1
SNP.100	 0.0039	 0.0090	 0.0103	 0.0051	1	-0.0043	1
SNP.101	-0.0012	-0.0027	-0.0031	-0.0015	1	-0.0062	1
SNP.102	 0.0022	 0.0052	 0.0060	 0.0030	1	-0.0041	1
SNP.103	 0.0068	 0.0156	 0.0179	 0.0089	1	 0.0006	1
SNP.104	 0.0295	 0.0660	 0.0751	 0.0376	1	 0.0278	1
SNP.105	 0.0063	 0.0146	 0.0167	 0.0083	1	-0.0019	1
SNP.106	 0.0007	 0.0017	 0.0020	 0.0010	1	-0.0024	1
SNP.107	-0.0045	-0.0106	-0.0121	-0.0060	1	-0.0118	1
SNP.108	 0.0114	 0.0260	 0.0296	 0.0147	1	 0.0170	1
SNP.109	-0.0027	-0.0064	-0.0074	-0.0037	1	-0.0103	1
SNP.110	 0.0168	 0.0385	 0.0438	 0.0220	1	 0.0087	1
SNP.111	 0.0094	 0.0218	 0.0248	 0.0125	1	 0.0120	1
SNP.112	 0.0065	 0.0151	 0.0172	 0.0086	1	 0.0027	1
SNP.113	 0.0094	 0.0216	 0.0246	 0.0123	1	 0.0056	1
SNP.114	 0.0212	 0.0481	 0.0548	 0.0274	1	 0.0197	1
SNP.115	-0.0011	-0.0025	-0.0028	-0.0014	1	-0.0092	1
SNP.116	 0.0036	 0.0084	 0.0095	 0.0048	1	 0.0016	1
SNP.117	 0.0035	 0.0081	 0.0093	 0.0046	1	-0.0004	1
SNP.118	 0.0018	 0.0042	 0.0049	 0.0024	1	-0.0036	1
SNP.119	-0.0013	-0.0029	-0.0033	-0.0017	1	-0.0065	1
SNP.120	-0.0016	-0.0039	-0.0044	-0.0022	1	-0.0095	1
SNP.121	 0.0183	 0.0418	 0.0476	 0.0239	1	 0.0288	1
SNP.122	 0.0002	 0.0005	 0.0006	 0.0003	1	-0.0052	1
SNP.123	 0.0207	 0.0472	 0.0537	 0.0271	1	 0.0260	1
SNP.124	 0.0181	 0.0412	 0.0470	 0.0235	1	 0.0139	1
SNP.125	-0.0038	-0.0089	-0.0101	-0.0050	1	-0.0111	1
SNP.126	-0.0039	-0.0092	-0.0105	-0.0053	1	-0.0114	1
SNP.127	 0.0005	 0.0011	 0.0013	 0.0006	1	-0.0047	1
SNP.128	 0.0258	 0.0587	 0.0667	 0.0337	1	 0.0301	1
SNP.129	 0.0020	 0.0047	 0.0054	 0.0027	1	-0.0001	1
SNP.130	 0.0072	 0.0166	 0.0189	 0.0095	1	-0.0002	1
SNP.131	 0.0138	 0.0317	 0.0362	 0.0181	1	 0.0110	1
SNP.132	 0.0135	 0.0308	 0.0351	 0.0175	1	 0.0098	1
SNP.133	 0.0004	 0.0010	 0.0011	 0.0006	1	-0.0027	1
SNP.134	 0.0123	 0.0284	 0.0324	 0.0163	1	 0.0046	1
SNP.135	 0.0051	 0.0118	 0.0135	 0.0067	1	-0.0029	1
SNP.136	 0.0135	 0.0309	 0.0352	 0.0176	1	 0.0128	1
SNP.137	 0.0003	 0.0008	 0.0009	 0.0004	1	-0.0041	1
SNP.138	 0.0224	 0.0504	 0.0574	 0.0286	1	 0.0336	1
SNP.139	 0.0140	 0.0323	 0.0368	 0.0185	1	 0.0093	1
SNP.140	 0.0307	 0.0691	 0.0785	 0.0396	1	 0.0226	1
SNP.141	 0.0103	 0.0235	 0.0268	 0.0134	1	 0.0010	1
SNP.142	 0.0231	 0.0522	 0.0594	 0.0298	1	 0.0166	1
SNP.143	 0.0093	 0.0215	 0.0245	 0.0123	1	 0.0103	1
SNP.144	 0.0039	 0.0091	 0.0104	 0.0052	1	-0.0020	1
SNP.145	 0.0002	 0.0004	 0.0005	 0.0003	1	-0.0074	1
SNP.146	 0.0053	 0.0123	 0.0140	 0.0070	1	 0.0004	1
SNP.147	-0.0002	-0.0005	-0.0006	-0.0003	1	-0.0075	1
SNP.148	-0.0010	-0.0023	-0.0026	-0.0013	1	-0.0071	1
SNP.149	-0.0050	-0.0116	-0.0133	-0.0066	1	-0.0125	1
SNP.150	 0.0047	 0.0110	 0.0125	 0.0063	1	 0.0000	1
SNP.151	 0.0057	 0.0133	 0.0152	 0.0076	1	-0.0013	1
SNP.152	-0.0020	-0.0046	-0.0052	-0.0026	1	-0.0072	1
SNP.153	-0.0007	-0.0016	-0.0019	-0.0009	1	-0.0085	1
SNP.154	 0.0014	 0.0033	 0.0038	 0.0019	1	-0.0057	1
SNP.155	-0.0042	-0.0098	-0.0112	-0.0056	1	-0.0122	1
SNP.156	 0.0011	 0.0026	 0.0029	 0.0015	1	-0.0044	1
SNP.157	-0.0018	-0.0042	-0.0048	-0.0024	1	-0.0080	1
SNP.158	-0.0027	-0.0064	-0.0073	-0.0037	1	-0.0093	1
SNP.159	 0.0122	 0.0282	 0.0322	 0.0162	1	 0.0120	1
SNP.160	 0.0016	 0.0038	 0.0043	 0.0021	1	-0.0042	1
SNP.161	 0.0055	 0.0128	 0.0147	 0.0073	1	-0.0009	1
SNP.162	 0.0009	 0.0021	 0.0024	 0.0012	1	-0.0040	1
SNP.163	 0.0083	 0.0191	 0.0218	 0.0109	1	 0.0038	1
SNP.164	 0.0179	 0.0405	 0.0462	 0.0231	1	 0.0100	1
SNP.165	 0.0045	 0.0104	 0.0119	 0.0060	1	-0.0013	1
SNP.166	-0.0016	-0.0037	-0.0043	-0.0021	1	-0.0071	1
SNP.167	 0.0012	 0.0028	 0.0032	 0.0016	1	-0.0065	1
SNP.168	 0.0149	 0.0341	 0.0389	 0.0194	1	 0.0122	1
SNP.169	 0.0022	 0.0051	 0.0058	 0.0029	1	-0.0055	1
SNP.170	 0.0456	 0.1013	 0.1147	 0.0583	1	 0.0338	1
SNP.171	 0.0305	 0.0686	 0.0779	 0.0393	1	 0.0262	1
SNP.172	 0.0057	 0.0133	 0.0152	 0.0076	1	 0.0046	1
SNP.173	 0.0071	 0.0165	 0.0188	 0.0094	1	 0.0035	1
SNP.174	 0.0167	 0.0381	 0.0434	 0.0218	1	 0.0121	1
SNP.175	-0.0014	-0.0033	-0.0038	-0.0019	1	-0.0075	1
SNP.176	 0.0011	 0.0026	 0.0029	 0.0015	1	-0.0057	1
SNP.177	 0.0130	 0.0298	 0.0340	 0.0170	1	 0.0129	1
SNP.178	 0.0062	 0.0144	 0.0164	 0.0082	1	 0.0010	1
SNP.179	 0.0077	 0.0178	 0.0203	 0.0102	1	 0.0093	1
SNP.180	-0.0033	-0.0078	-0.0089	-0.0044	1	-0.0105	1
SNP.181	 0.0224	 0.0509	 0.0579	 0.0291	1	 0.0134	1
SNP.182	-0.0022	-0.0051	-0.0059	-0.0029	1	-0.0075	1
SNP.183	 0.0077	 0.0178	 0.0203	 0.0101	1	 0.0007	1
SNP.184	 0.0168	 0.0383	 0.0436	 0.0219	1	 0.0165	1
SNP.185	 0.0011	 0.0026	 0.0030	 0.0015	1	-0.0068	1
SNP.186	-0.0012	-0.0028	-0.0032	-0.0016	1	-0.0083	1
SNP.187	 0.0132	 0.0302	 0.0345	 0.0172	1	 0.0143	1
SNP.188	 0.0006	 0.0015	 0.0017	 0.0008	1	-0.0073	1
SNP.189	-0.0012	-0.0028	-0.0032	-0.0016	1	-0.0095	1
SNP.190	-0.0039	-0.0092	-0.0105	-0.0053	1	-0.0116	1
SNP.191	 0.0075	 0.0173	 0.0197	 0.0098	1	 0.0057	1
SNP.192	 0.0193	 0.0440	 0.0501	 0.0252	1	 0.0221	1
SNP.193	 0.0078	 0.0180	 0.0205	 0.0103	1	 0.0032	1
SNP.194	 0.0133	 0.0303	 0.0346	 0.0173	1	 0.0134	1
SNP.195	 0.0089	 0.0206	 0.0236	 0.0118	1	 0.0047	1
SNP.196	-0.0003	-0.0006	-0.0007	-0.0004	1	-0.0075	1
SNP.197	-0.0014	-0.0034	-0.0039	-0.0019	1	-0.0093	1
SNP.198	-0.0005	-0.0012	-0.0014	-0.0007	1	-0.0053	1
SNP.199	 0.0008	 0.0020	 0.0022	 0.0011	1	-0.0071	1
SNP.200	-0.0027	-0.0063	-0.0073	-0.0036	1	-0.0085	1
SNP.201	-0.0014	-0.0032	-0.0037	-0.0018	1	-0.0095	1
SNP.202	-0.0020	-0.0047	-0.0054	-0.0027	1	-0.0073	1
SNP.203	-0.0017	-0.0040	-0.0046	-0.0023	1	-0.0099	1
SNP.204	-0.0001	-0.0002	-0.0002	-0.0001	1	-0.0084	1
SNP.205	-0.0026	-0.0060	-0.0068	-0.0034	1	-0.0104	1
SNP.206	 0.0009	 0.0021	 0.0024	 0.0012	1	-0.0070	1
SNP.207	 0.0081	 0.0187	 0.0213	 0.0106	1	 0.0087	1
SNP.208	-0.0024	-0.0056	-0.0064	-0.0032	1	-0.0094	1
SNP.209	 0.0134	 0.0307	 0.0350	 0.0176	1	 0.0152	1
SNP.210	 0.0171	 0.0392	 0.0447	 0.0225	1	 0.0083	1
SNP.211	 0.0073	 0.0170	 0.0194	 0.0097	1	 0.0094	1
SNP.212	 0.0053	 0.0123	 0.0140	 0.0070	1	 0.0015	1
SNP.213	-0.0036	-0.0085	-0.0098	-0.0049	1	-0.0108	1
SNP.214	 0.0074	 0.0171	 0.0196	 0.0098	1	 0.0065	1
SNP.215	 0.0000	 0.0000	 0.0000	 0.0000	1	-0.0073	1
SNP.216	 0.0074	 0.0171	 0.0195	 0.0098	1	 0.0010	1
SNP.217	-0.0026	-0.0061	-0.0070	-0.0035	1	-0.0085	1
SNP.218	 0.0000	 0.0001	 0.0001	 0.0000	1	-0.0057	1
SNP.219	-0.0039	-0.0092	-0.0105	-0.0053	1	-0.0106	1
SNP.220	-0.0039	-0.0093	-0.0106	-0.0053	1	-0.0108	1
SNP.221	-0.0006	-0.0014	-0.0016	-0.0008	1	-0.0070	1
SNP.222	-0.0040	-0.0093	-0.0106	-0.0053	1	-0.0113	1
SNP.223	 0.0086	 0.0197	 0.0225	 0.0113	1	 0.0062	1
SNP.224	 0.0053	 0.0123	 0.0140	 0.0070	1	 0.0015	1
SNP.225	 0.0054	 0.0126	 0.0144	 0.0072	1	 0.0020	1
SNP.226	-0.0035	-0.0082	-0.0093	-0.0047	1	-0.0103	1
SNP.227	-0.0030	-0.0071	-0.0081	-0.0040	1	-0.0100	1
SNP.228	-0.0018	-0.0043	-0.0049	-0.0025	1	-0.0069	1
SNP.229	 0.0239	 0.0543	 0.0618	 0.0312	1	 0.0151	1
SNP.230	-0.0036	-0.0085	-0.0098	-0.0049	1	-0.0105	1
SNP.231	 0.0132	 0.0303	 0.0345	 0.0173	1	 0.0110	1
SNP.232	 0.0027	 0.0063	 0.0072	 0.0036	1	-0.0019	1
SNP.233	-0.0008	-0.0019	-0.0022	-0.0011	1	-0.0082	1
SNP.234	 0.0023	 0.0053	 0.0061	 0.0030	1	-0.0053	1
SNP.235	-0.0009	-0.0020	-0.0023	-0.0012	1	-0.0093	1
SNP.236	-0.0024	-0.0056	-0.0063	-0.0032	1	-0.0088	1
SNP.237	 0.0127	 0.0293	 0.0334	 0.0168	1	 0.0119	1
SNP.238	 0.0017	 0.0039	 0.0045	 0.0022	1	-0.0069	1
SNP.239	 0.0085	 0.0196	 0.0224	 0.0112	1	 0.0046	1
SNP.240	 0.0011	 0.0025	 0.0029	 0.0015	1	-0.0062	1
SNP.241	 0.0235	 0.0536	 0.0609	 0.0308	1	 0.0181	1
SNP.242	 0.0086	 0.0198	 0.0226	 0.0114	1	 0.0046	1
SNP.243	 0.0016	 0.0036	 0.0042	 0.0021	1	-0.0048	1
SNP.244	 0.0005	 0.0012	 0.0014	 0.0007	1	-0.0067	1
SNP.245	-0.0011	-0.0026	-0.0030	-0.0015	1	-0.0074	1
SNP.246	-0.0053	-0.0125	-0.0143	-0.0072	1	-0.0133	1
SNP.247	 0.0199	 0.0455	 0.0518	 0.0260	1	 0.0245	1
SNP.248	 0.0096	 0.0219	 0.0250	 0.0124	1	 0.0032	1
SNP.249	 0.0173	 0.0391	 0.0446	 0.0223	1	 0.0182	1
SNP.250	 0.0093	 0.0215	 0.0246	 0.0123	1	 0.0017	1
Global	 0.0063	 0.0146	 0.0167	 0.0026	1	 0.0014	1
