loci	gst	Gst	GGst	D	Fis	Fst	Fit
MAL06-148357	 0.0246	 0.0285	 0.0364	 0.0041	1	 0.0241	1
MAL06-159081	 0.3944	 0.5979	 0.6446	 0.3361	1	 0.5023	1
MAL06-182962	 0.0219	 0.0491	 0.0559	 0.0278	1	 0.0217	1
MAL06-261657	 0.0160	 0.0367	 0.0419	 0.0211	1	 0.0143	1
MAL06-312410	 0.1881	 0.3405	 0.3795	 0.1877	1	 0.2233	1
MAL06-315729	 0.0862	 0.0926	 0.1179	 0.0070	1	 0.0890	1
MAL06-327977	 0.1389	 0.2520	 0.2852	 0.1314	1	 0.1736	1
MAL06-378824	 0.0990	 0.1224	 0.1504	 0.0259	1	 0.1315	1
MAL06-404675	 0.0830	 0.0980	 0.1223	 0.0163	1	 0.1029	1
MAL06-417465	 0.0635	 0.0743	 0.0935	 0.0114	1	 0.1022	1
MAL06-510590	 0.0883	 0.1046	 0.1302	 0.0178	1	 0.1093	1
MAL06-581030	 0.2706	 0.3929	 0.4431	 0.1677	1	 0.2763	1
MAL06-654198	 0.0117	 0.0219	 0.0257	 0.0103	1	 0.0112	1
MAL06-909067	 0.0261	 0.0304	 0.0387	 0.0044	1	 0.0315	1
MAL06-938236	 0.2921	 0.5019	 0.5461	 0.2964	1	 0.3263	1
MAL07-178000	 0.1428	 0.2852	 0.3176	 0.1661	1	 0.2366	1
MAL07-277102	 0.1761	 0.2862	 0.3258	 0.1336	1	 0.2362	1
MAL07-281602	 0.0805	 0.0932	 0.1169	 0.0138	1	 0.1025	1
MAL07-283525	 0.1417	 0.2620	 0.2953	 0.1402	1	 0.1804	1
MAL07-537094	 0.0309	 0.0354	 0.0453	 0.0047	1	 0.0351	1
MAL07-665556	 0.0252	 0.0274	 0.0355	 0.0022	1	 0.0354	1
MAL07-1122074	 0.0196	 0.0205	 0.0269	 0.0010	1	 0.0295	1
MAL07-1184520	 0.1225	 0.2245	 0.2549	 0.1162	1	 0.1393	1
MAL07-1225730	 0.0889	 0.1741	 0.1978	 0.0935	1	 0.0968	1
MAL07-1314717	 0.0850	 0.1058	 0.1304	 0.0227	1	 0.0953	1
MAL07-1318034	 0.1001	 0.1237	 0.1520	 0.0263	1	 0.1239	1
MAL08-324349	 0.2898	 0.4545	 0.5025	 0.2319	1	 0.3470	1
MAL08-329153	 0.1898	 0.3622	 0.4002	 0.2128	1	 0.2608	1
MAL08-414103	 0.2822	 0.4646	 0.5107	 0.2542	1	 0.3660	1
MAL08-415215	 0.3345	 0.5440	 0.5898	 0.3149	1	 0.4492	1
MAL08-418882	 0.3909	 0.4893	 0.5481	 0.1615	1	 0.5009	1
MAL08-423288	 0.0215	 0.0279	 0.0348	 0.0065	1	 0.0169	1
MAL08-472454	 0.3652	 0.4840	 0.5400	 0.1872	1	 0.4533	1
MAL08-477431	 0.3200	 0.5228	 0.5688	 0.2981	1	 0.4276	1
MAL08-502175	 0.2115	 0.3329	 0.3769	 0.1540	1	 0.2745	1
MAL08-506860	 0.2155	 0.3309	 0.3758	 0.1472	1	 0.2688	1
MAL08-510277	-0.0034	-0.0061	-0.0072	-0.0027	1	-0.0106	1
MAL08-550806	 0.1341	 0.2276	 0.2607	 0.1081	1	 0.1910	1
MAL08-598974	 0.1100	 0.1684	 0.1978	 0.0656	1	 0.1414	1
MAL08-620258	 0.3255	 0.5038	 0.5524	 0.2644	1	 0.4057	1
MAL08-682727	 0.1714	 0.3264	 0.3628	 0.1870	1	 0.2158	1
MAL08-702678	 0.0339	 0.0414	 0.0521	 0.0078	1	 0.0336	1
MAL08-740413	 0.1225	 0.2425	 0.2723	 0.1368	1	 0.1332	1
MAL08-753870	 0.0724	 0.0980	 0.1192	 0.0276	1	 0.1017	1
MAL08-880658	 0.0894	 0.1256	 0.1509	 0.0398	1	 0.1020	1
MAL08-992462	 0.0334	 0.0563	 0.0667	 0.0237	1	 0.0370	1
MAL08-998189	 0.0535	 0.1157	 0.1312	 0.0657	1	 0.0722	1
MAL08-1113364	 0.0500	 0.0866	 0.1016	 0.0385	1	 0.0569	1
MAL08-1122713	 0.1493	 0.2936	 0.3271	 0.1697	1	 0.1745	1
MAL08-1191793	 0.0040	 0.0091	 0.0104	 0.0051	1	-0.0044	1
MAL08-1238679	 0.1371	 0.2679	 0.2999	 0.1515	1	 0.1703	1
MAL08-1249200	 0.0856	 0.0929	 0.1181	 0.0080	1	 0.1055	1
MAL09-231063	 0.1078	 0.2165	 0.2437	 0.1219	1	 0.1570	1
MAL09-265315	 0.2057	 0.3867	 0.4261	 0.2279	1	 0.2810	1
MAL09-478750	 0.1874	 0.2805	 0.3228	 0.1146	1	 0.2584	1
MAL09-597888	 0.0068	 0.0070	 0.0092	 0.0002	1	 0.0081	1
MAL09-634010	 0.0335	 0.0429	 0.0535	 0.0097	1	 0.0441	1
MAL09-917254	 0.0199	 0.0224	 0.0288	 0.0026	1	 0.0186	1
MAL09-1142293	 0.2076	 0.3346	 0.3777	 0.1602	1	 0.2770	1
MAL09-1204316	 0.0602	 0.0915	 0.1094	 0.0333	1	 0.0706	1
MAL09-1206830	 0.0196	 0.0205	 0.0269	 0.0010	1	 0.0295	1
MAL10-190158	 0.1697	 0.3159	 0.3525	 0.1761	1	 0.2198	1
MAL10-303698	 0.2387	 0.3489	 0.3968	 0.1447	1	 0.3178	1
MAL10-996032	 0.0367	 0.0818	 0.0929	 0.0468	1	 0.0437	1
MAL10-1047321	 0.3829	 0.5589	 0.6089	 0.2853	1	 0.4831	1
MAL10-1228500	 0.0141	 0.0143	 0.0189	 0.0002	1	 0.0145	1
MAL10-1281631	 0.1060	 0.1775	 0.2056	 0.0800	1	 0.1296	1
MAL10-1322020	 0.0085	 0.0094	 0.0122	 0.0008	1	 0.0052	1
MAL10-1389364	 0.1357	 0.2386	 0.2715	 0.1191	1	 0.1733	1
MAL10-1391783	 0.0104	 0.0116	 0.0150	 0.0013	1	 0.0119	1
MAL10-1519672	 0.0438	 0.0545	 0.0681	 0.0112	1	 0.0486	1
MAL11-386092	 0.0603	 0.0950	 0.1128	 0.0369	1	 0.0618	1
MAL11-565294	 0.2308	 0.3741	 0.4188	 0.1863	1	 0.2294	1
MAL11-593539	 0.0543	 0.0630	 0.0797	 0.0093	1	 0.0696	1
MAL11-637435	 0.2580	 0.4261	 0.4716	 0.2266	1	 0.3645	1
MAL11-683964	 0.0787	 0.1060	 0.1288	 0.0296	1	 0.0880	1
MAL11-753549	 0.0533	 0.1144	 0.1299	 0.0646	1	 0.0881	1
MAL11-773903	 0.0525	 0.0727	 0.0887	 0.0213	1	 0.0553	1
MAL11-792549	 0.0840	 0.1360	 0.1595	 0.0567	1	 0.0904	1
MAL11-828595	 0.0412	 0.0597	 0.0724	 0.0193	1	 0.0512	1
MAL11-874947	 0.2287	 0.3565	 0.4021	 0.1657	1	 0.2880	1
MAL11-920191	 0.0664	 0.0825	 0.1023	 0.0173	1	 0.0837	1
MAL11-968080	 0.0635	 0.0993	 0.1179	 0.0382	1	 0.0855	1
MAL11-987252	 0.0208	 0.0466	 0.0532	 0.0264	1	 0.0208	1
MAL11-1020133	 0.0650	 0.0851	 0.1045	 0.0215	1	 0.0905	1
MAL11-1038073	 0.0625	 0.1102	 0.1283	 0.0508	1	 0.0679	1
MAL11-1188633	 0.0380	 0.0632	 0.0749	 0.0262	1	 0.0420	1
MAL11-1243997	 0.0736	 0.1211	 0.1421	 0.0513	1	 0.0818	1
MAL11-1271589	 0.1805	 0.3129	 0.3519	 0.1616	1	 0.2143	1
MAL11-1275603	 0.0911	 0.1843	 0.2083	 0.1025	1	 0.1126	1
MAL11-1295603	 0.0168	 0.0180	 0.0234	 0.0012	1	 0.0220	1
MAL11-1321195	 0.0154	 0.0190	 0.0241	 0.0037	1	 0.0278	1
MAL11-1509521	 0.0299	 0.0338	 0.0433	 0.0040	1	 0.0250	1
MAL11-1748611	 0.1104	 0.2274	 0.2548	 0.1315	1	 0.1542	1
MAL11-1752891	 0.3254	 0.5466	 0.5910	 0.3279	1	 0.4167	1
MAL11-1791173	 0.1652	 0.2057	 0.2472	 0.0485	1	 0.2036	1
MAL12-175811	 0.1815	 0.3492	 0.3863	 0.2049	1	 0.2623	1
MAL12-381783	 0.0147	 0.0170	 0.0217	 0.0023	1	 0.0179	1
MAL12-399322	 0.0382	 0.0752	 0.0868	 0.0385	1	 0.0334	1
MAL12-529412	 0.1856	 0.3365	 0.3751	 0.1853	1	 0.2189	1
MAL12-646259	 0.0123	 0.0155	 0.0195	 0.0033	1	 0.0110	1
MAL12-698129	 0.1991	 0.2969	 0.3406	 0.1222	1	 0.2604	1
MAL12-702015	 0.0145	 0.0182	 0.0229	 0.0038	1	 0.0079	1
MAL12-726595	 0.0282	 0.0346	 0.0436	 0.0066	1	 0.0603	1
MAL12-802737	 0.1899	 0.3606	 0.3987	 0.2107	1	 0.2154	1
MAL12-839896	 0.1591	 0.2453	 0.2833	 0.1025	1	 0.2327	1
MAL12-857238	 0.0252	 0.0469	 0.0549	 0.0222	1	 0.0335	1
MAL12-858494	 0.0005	 0.0008	 0.0009	 0.0003	1	-0.0033	1
MAL12-907255	 0.0353	 0.0517	 0.0627	 0.0170	1	 0.0267	1
MAL12-943330	 0.0364	 0.0490	 0.0604	 0.0131	1	 0.0415	1
MAL12-1078311	 0.2705	 0.3463	 0.4004	 0.1040	1	 0.3202	1
MAL12-1156125	 0.0480	 0.0852	 0.0996	 0.0390	1	 0.0540	1
MAL12-1212106	 0.1637	 0.3000	 0.3362	 0.1629	1	 0.2187	1
MAL12-1214787	 0.1161	 0.2291	 0.2578	 0.1279	1	 0.1295	1
MAL12-1400880	 0.1530	 0.2172	 0.2552	 0.0758	1	 0.2007	1
MAL12-1598773	 0.0764	 0.1638	 0.1846	 0.0947	1	 0.0922	1
MAL12-1761552	 0.2673	 0.4198	 0.4673	 0.2081	1	 0.3205	1
MAL12-2046726	 0.2147	 0.3317	 0.3763	 0.1490	1	 0.3054	1
MAL12-2050164	 0.0305	 0.0589	 0.0684	 0.0292	1	 0.0346	1
MAL12-2119221	 0.1286	 0.2185	 0.2507	 0.1033	1	 0.1839	1
MAL13-150118	 0.0359	 0.0562	 0.0674	 0.0211	1	 0.0277	1
MAL13-159660	 0.1374	 0.1649	 0.2014	 0.0319	1	 0.2005	1
MAL13-353364	 0.1533	 0.2947	 0.3290	 0.1670	1	 0.2493	1
MAL13-639415	 0.1357	 0.2508	 0.2832	 0.1331	1	 0.2158	1
MAL13-714924	-0.0017	-0.0033	-0.0039	-0.0016	1	-0.0092	1
MAL13-853413	 0.0547	 0.1119	 0.1278	 0.0605	1	 0.0766	1
MAL13-942637	 0.0482	 0.0541	 0.0690	 0.0062	1	 0.0514	1
MAL13-1013875	 0.0557	 0.0896	 0.1062	 0.0359	1	 0.0707	1
MAL13-1399233	 0.1045	 0.1335	 0.1626	 0.0324	1	 0.1382	1
MAL13-1596183	 0.0843	 0.1704	 0.1931	 0.0941	1	 0.1061	1
MAL13-1661997	 0.1860	 0.3333	 0.3722	 0.1809	1	 0.2523	1
MAL13-1709066	 0.2108	 0.3929	 0.4327	 0.2306	1	 0.2798	1
MAL13-1716352	 0.0978	 0.1504	 0.1773	 0.0584	1	 0.0951	1
MAL13-1777097	 0.2039	 0.3758	 0.4156	 0.2160	1	 0.2894	1
MAL13-2383027	 0.0105	 0.0135	 0.0170	 0.0030	1	 0.0151	1
MAL13-2470584	 0.0477	 0.0685	 0.0831	 0.0219	1	 0.0789	1
MAL13-2477441	 0.1686	 0.3041	 0.3411	 0.1630	1	 0.2437	1
MAL13-2553416	 0.2156	 0.3391	 0.3834	 0.1574	1	 0.3091	1
MAL13-2672190	 0.0348	 0.0602	 0.0709	 0.0263	1	 0.0527	1
MAL13-2704604	 0.1939	 0.3417	 0.3817	 0.1833	1	 0.2643	1
MAL14-201791	 0.3908	 0.5826	 0.6307	 0.3149	1	 0.4936	1
MAL14-221707	 0.3244	 0.5273	 0.5734	 0.3003	1	 0.3640	1
MAL14-312693	 0.0142	 0.0145	 0.0191	 0.0002	1	 0.0142	1
MAL14-334976	 0.1414	 0.2587	 0.2920	 0.1366	1	 0.2087	1
MAL14-442134	 0.1589	 0.3036	 0.3387	 0.1721	1	 0.1737	1
MAL14-564339	 0.0161	 0.0298	 0.0350	 0.0140	1	 0.0196	1
MAL14-722436	 0.0615	 0.0963	 0.1144	 0.0371	1	 0.0865	1
MAL14-832589	 0.0349	 0.0439	 0.0550	 0.0093	1	 0.0461	1
MAL14-860816	 0.1629	 0.2576	 0.2959	 0.1131	1	 0.2293	1
MAL14-911764	 0.0907	 0.1358	 0.1612	 0.0496	1	 0.1211	1
MAL14-1103685	 0.0551	 0.1153	 0.1313	 0.0638	1	 0.0659	1
MAL14-1106081	 0.0768	 0.1242	 0.1461	 0.0514	1	 0.0831	1
MAL14-1161488	 0.2719	 0.4798	 0.5230	 0.2855	1	 0.3466	1
MAL14-1199721	 0.0168	 0.0319	 0.0373	 0.0154	1	 0.0168	1
MAL14-1392975	 0.0645	 0.0999	 0.1189	 0.0379	1	 0.0883	1
MAL14-1405313	 0.1358	 0.2619	 0.2938	 0.1459	1	 0.2222	1
MAL14-1454903	 0.0375	 0.0666	 0.0782	 0.0302	1	 0.0327	1
MAL14-1482198	 0.0538	 0.1133	 0.1289	 0.0628	1	 0.0927	1
MAL14-1818960	 0.1942	 0.2973	 0.3401	 0.1280	1	 0.2566	1
MAL14-1903017	 0.1363	 0.2668	 0.2987	 0.1511	1	 0.1939	1
MAL14-2181307	 0.1991	 0.3560	 0.3961	 0.1959	1	 0.2408	1
MAL14-2275535	 0.2674	 0.3849	 0.4353	 0.1603	1	 0.3588	1
MAL14-2373291	 0.1384	 0.2142	 0.2488	 0.0880	1	 0.2041	1
MAL14-2536420	 0.2321	 0.3560	 0.4022	 0.1613	1	 0.3221	1
MAL14-2615028	 0.1790	 0.2597	 0.3014	 0.0982	1	 0.2426	1
MAL14-2752309	 0.0047	 0.0050	 0.0065	 0.0003	1	-0.0023	1
MAL14-2816701	 0.0834	 0.1164	 0.1403	 0.0360	1	 0.1078	1
MAL14-3009282	-0.0002	-0.0002	-0.0003	 0.0000	1	-0.0070	1
MAL14-3017815	 0.0270	 0.0575	 0.0659	 0.0314	1	 0.0270	1
MAL14-3043465	 0.0926	 0.1528	 0.1782	 0.0664	1	 0.1086	1
MAL14-3124740	 0.0596	 0.1008	 0.1183	 0.0439	1	 0.0758	1
MAL14-3126540	 0.1828	 0.3037	 0.3437	 0.1479	1	 0.2638	1
Global	 0.1408	 0.2171	 0.2522	 0.0505	1	 0.1818	1
